City,Country,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloudiness,Date
Bragança,BR,-1.05,-46.77,72.86,95,2.77,1,1597645667
Albury,AU,-36.08,146.92,57.2,58,12.75,50,1597645633
Khovd,MN,48.01,91.64,67.42,44,4.65,52,1597645668
Östersund,SE,63.18,14.64,48.2,70,4.7,0,1597645668
Dauphin,CA,51.15,-100.05,51.8,93,5.82,1,1597645668
Tura,IN,25.52,90.22,83.23,80,8.32,87,1597645669
Novy Urengoy,RU,66.08,76.63,57.97,80,7.92,96,1597645669
Liverpool,GB,53.41,-2.98,60.8,93,4.7,90,1597645669
Fairbanks,US,64.84,-147.72,62.6,62,4.7,1,1597645669
Cayenne,GF,4.93,-52.33,77.0,100,8.95,87,1597645670
Abhā,SA,18.22,42.51,78.8,38,3.36,35,1597645670
Nizwá,OM,22.93,57.53,99.21,28,5.21,85,1597645670
Robertson,US,36.52,-86.87,66.2,93,7.76,1,1597645670
Codrington,AU,-38.27,141.97,57.18,71,12.77,41,1597645671
Maningrida,AU,-12.07,134.27,85.44,40,11.97,21,1597645671
Bandi̇̄pur,NP,27.93,84.42,84.09,69,2.93,58,1597645671
Tual,ID,-5.67,132.75,79.43,78,11.21,4,1597645671
Caborca,MX,30.58,-111.1,91.99,40,5.01,89,1597645672
Half Moon Bay,US,37.46,-122.43,73.99,93,10.29,75,1597645404
Sørland,NO,67.67,12.69,53.6,62,9.17,75,1597645672
Tuxpan,MX,19.55,-103.4,63.52,84,2.77,100,1597645672
Kapra,IN,17.48,78.56,75.2,100,8.05,90,1597645673
Banda Aceh,ID,5.56,95.32,86.83,64,11.68,11,1597645673
Elizabeth City,US,36.29,-76.25,71.01,98,3.89,59,1597645673
Alekseyevsk,RU,57.84,108.35,69.6,29,10.22,0,1597645673
Carutapera,BR,-1.2,-46.02,75.65,85,6.17,33,1597645674
Juneau,US,58.3,-134.42,55.0,93,4.0,75,1597645666
Broken Hill,AU,-31.95,141.43,64.4,39,18.34,40,1597645674
Santa Maria,BR,-29.68,-53.81,44.6,71,3.94,14,1597645674
Câmara de Lobos,PT,32.63,-16.97,73.4,73,9.17,20,1597645675
Madison,US,34.73,-86.57,73.99,100,8.05,1,1597645675
Ilave,PE,-16.08,-69.67,36.32,73,6.06,19,1597645675
Calvinia,ZA,-31.47,19.78,43.02,58,3.87,88,1597645675
Yumen,CN,40.28,97.2,85.93,13,20.47,49,1597645676
Luorong,CN,24.41,109.61,90.27,57,3.53,49,1597645676
Windhoek,NA,-22.56,17.08,51.8,34,2.24,0,1597645676
Phuket,TH,8.0,98.25,89.01,70,9.17,20,1597645676
Bilma,NE,18.69,12.92,91.42,34,8.05,53,1597645677
Cody,US,44.53,-109.06,69.01,24,4.03,1,1597645667
Machinga,MW,-15.17,35.3,73.38,40,5.21,0,1597645677
Sehithwa,BW,-20.47,22.72,58.78,30,7.78,0,1597645677
Stromness,GB,58.97,-3.3,55.4,100,10.29,90,1597645677
Guilin,CN,25.28,110.29,89.6,59,4.47,40,1597645678
San Fernando del Valle de Catamarca,AR,-28.47,-65.79,53.01,58,1.01,0,1597645678
Province of Siena,IT,43.22,11.4,75.0,64,0.87,0,1597645678
Lac du Bonnet,CA,50.25,-96.06,54.0,99,2.21,95,1597645678
Lagoa,PT,39.05,-27.98,73.89,88,30.87,100,1597645679
Hailar,CN,49.2,119.7,66.63,87,2.1,100,1597645679
Hengyang,CN,26.89,112.61,99.27,38,2.68,1,1597645664
Zabid,YE,14.2,43.32,95.43,41,3.85,81,1597645680
Dayong,CN,25.02,118.29,95.0,56,2.24,40,1597645680
Springfield,US,37.22,-93.3,70.0,72,3.36,1,1597645672
Puerto Palomas,MX,31.77,-107.62,77.0,50,10.29,1,1597645680
Plettenberg Bay,ZA,-34.05,23.37,48.51,65,4.45,100,1597645681
Zarautz,ES,43.28,-2.17,62.01,79,1.01,85,1597645681
Puri,IN,19.8,85.85,89.6,79,13.87,75,1597645681
Beloha,MG,-25.17,45.05,72.45,65,5.08,0,1597645681
Lerdo,MX,25.53,-103.53,81.0,44,5.01,20,1597645682
Marystown,CA,47.17,-55.15,55.0,100,6.78,0,1597645682
Chunoyar,RU,57.45,97.32,70.29,36,9.57,100,1597645682
Santana do Mundaú,BR,-9.17,-36.22,71.6,94,2.24,20,1597645683
Dhārchula,IN,29.85,80.53,80.46,60,4.61,76,1597645683
Yerbogachën,RU,61.28,108.01,68.92,34,2.68,0,1597645683
Kharan,PK,28.58,65.42,97.72,34,7.7,0,1597645683
Coyhaique,CL,-45.58,-72.07,39.2,89,10.29,90,1597645683
Faaborg,DK,55.1,10.24,72.0,73,6.93,96,1597645684
Río Gallegos,AR,-51.62,-69.22,35.6,74,13.87,88,1597645684
Ilulissat,GL,69.22,-51.1,42.8,56,5.82,15,1597645684
Lucapa,AO,-8.42,20.74,70.03,27,1.61,61,1597645684
Kenai,US,60.55,-151.26,61.0,77,6.93,1,1597645622
Daud Khel,PK,32.88,71.57,102.97,33,5.46,42,1597645685
Sabha,LY,27.04,14.43,82.58,25,6.29,0,1597645685
Puerto Colombia,CO,10.99,-74.95,82.4,88,4.7,20,1597645685
Ascension,US,30.22,-90.9,75.0,88,5.57,65,1597645686
Acapulco de Juárez,MX,16.86,-99.89,79.27,84,10.29,100,1597645686
São Miguel do Iguaçu,BR,-25.35,-54.24,62.6,93,4.7,40,1597645686
Murici,BR,-9.31,-35.94,71.6,94,2.24,20,1597645686
Ambon City,ID,-3.7,128.18,84.2,74,9.17,40,1597645687
Bonavista,CA,48.65,-53.11,54.0,81,1.99,0,1597645687
Tres Arroyos,AR,-38.37,-60.28,36.05,82,8.43,0,1597645687
Rio de Janeiro,BR,-22.9,-43.21,68.0,88,3.36,40,1597645400
Priargunsk,RU,50.37,119.1,63.9,86,8.63,100,1597645688
Chokwé,MZ,-24.53,32.98,65.01,76,11.56,100,1597645688
Venice,US,27.1,-82.45,84.0,83,5.12,1,1597645544
Yārāda,IN,17.65,83.27,86.0,70,18.34,75,1597645688
Macia,MZ,-25.03,33.1,62.85,80,9.24,100,1597645689
Dvinskoy Bereznik,RU,62.86,42.71,53.53,67,6.04,0,1597645689
Nadym,RU,65.53,72.52,51.33,86,3.33,100,1597645689
Nong Ki,TH,14.69,102.54,90.0,70,6.93,75,1597645689
Ust'-Ishim,RU,57.69,71.17,54.99,95,9.78,85,1597645690
Tianpeng,CN,30.99,103.94,81.0,94,6.71,75,1597645690
Vanavara,RU,60.34,102.28,69.15,29,7.56,0,1597645690
Zuwārah,LY,32.93,12.08,86.72,42,3.85,0,1597645690
Faya,SA,18.39,42.45,78.8,38,3.36,30,1597645691
Novaya Igirma,RU,57.13,103.91,69.58,29,7.47,1,1597645691
Erdenet,MN,49.03,104.08,54.64,74,2.66,98,1597645691
Basoko,CD,1.24,23.62,71.55,95,7.72,100,1597645691
Pizarro,CO,4.95,-77.37,77.14,87,4.0,100,1597645691
Gouré,NE,13.98,10.27,80.01,76,1.01,99,1597645692
Novovasylivka,UA,46.83,35.75,73.83,36,5.35,0,1597645692
Taltal,CL,-25.4,-70.48,49.62,74,1.54,9,1597645692
Weinan,CN,34.5,109.51,75.2,94,4.47,90,1597645692
Pufeşti,RO,46.0,27.2,70.0,68,6.93,6,1597645693
Porto Recanati,IT,43.44,13.66,79.0,78,3.36,5,1597645693
Biak,ID,-0.91,122.88,82.9,64,10.8,43,1597645693
Aksarka,RU,66.56,67.8,53.96,58,4.16,97,1597645694
Bubaque,GW,11.28,-15.83,78.8,85,16.55,100,1597645694
Puerto Nariño,CO,-3.77,-70.38,75.2,100,0.54,20,1597645694
Genç,TR,38.75,40.56,78.8,36,6.93,0,1597645694
Uttarkāshi,IN,30.73,78.45,84.2,94,3.58,75,1597645694
Araceli,PH,10.55,119.99,85.6,65,1.25,85,1597645695
Dalian,CN,38.91,121.6,87.8,70,11.18,82,1597645695
Asău,RO,46.43,26.4,70.0,75,1.99,34,1597645695
Soyo,AO,-6.13,12.37,75.2,88,9.06,75,1597645695
Kapustin Yar,RU,48.58,45.74,71.78,42,10.07,0,1597645696
Paita,PE,-5.09,-81.11,61.61,85,8.81,22,1597645696
Pasni,PK,25.26,63.47,83.66,80,7.74,100,1597645696
Vanimo,PG,-2.67,141.3,84.63,70,8.25,26,1597645696
Tilichiki,RU,60.47,166.1,61.32,55,14.97,56,1597645696
Tessalit,ML,20.2,1.01,87.24,44,8.97,94,1597645697
Sokoni,TZ,-6.43,39.55,75.2,94,11.63,75,1597645697
Halifax,CA,44.65,-63.57,64.0,74,5.26,100,1597645565
Almeirim,BR,-1.52,-52.58,75.87,87,4.81,40,1597645697
Huarmey,PE,-10.07,-78.15,59.07,85,7.94,66,1597645698
Maceo,CO,6.55,-74.79,66.31,98,3.67,100,1597645698
Golden,US,39.76,-105.22,75.2,29,4.7,1,1597645427
Khipro,PK,25.83,69.38,98.04,47,13.58,60,1597645699
Shar,KZ,49.59,81.05,82.08,17,3.42,19,1597645675
Carbondale,US,37.73,-89.22,66.2,88,3.69,1,1597645699
Freeport,US,40.66,-73.58,66.99,82,9.17,75,1597645657
Horadiz,AZ,39.45,47.34,71.6,64,6.93,75,1597645700
Aksaray,TR,38.37,34.03,62.6,48,3.36,0,1597645651
Ponta Delgada,PT,37.73,-25.67,73.4,88,14.99,20,1597645700
Aksu,CN,41.12,80.26,90.75,14,7.36,0,1597645700
Virginia Beach,US,36.85,-75.98,73.0,99,7.43,44,1597644909
Saýat,TM,38.78,63.88,82.4,28,16.11,75,1597645701
Santa Cruz de la Sierra,BO,-17.8,-63.17,64.4,82,4.7,75,1597645701
Mahajanga,MG,-15.72,46.32,82.4,48,10.29,20,1597645701
Kimbe,PG,-5.55,150.14,86.56,59,6.29,4,1597645701
Oyama,JP,36.3,139.8,100.0,53,8.05,75,1597645701
Inuvik,CA,68.35,-133.72,51.8,87,3.36,90,1597645702
Kuril'sk,RU,45.23,147.88,63.39,83,3.4,75,1597645702
Gravatá,BR,-8.2,-35.56,64.67,97,7.67,20,1597645702
São João da Barra,BR,-21.64,-41.05,72.21,92,9.66,94,1597645702
Prenzlau,DE,53.32,13.87,69.01,79,8.37,4,1597645702
Hofn,IS,64.25,-15.21,53.6,90,4.25,96,1597645703
Verkhoyansk,RU,67.54,133.38,56.34,39,5.23,3,1597645703
Charagua,BO,-19.8,-63.22,56.55,73,2.93,5,1597645703
Carauari,BR,-4.88,-66.9,75.6,78,2.06,45,1597645703
Port Said,EG,31.26,32.28,80.6,69,4.7,0,1597645704
La Asuncion,VE,11.03,-63.86,89.6,66,3.36,80,1597645704
Kibre Mengist,ET,5.88,38.98,64.13,78,3.22,96,1597645704
Bilibino,RU,68.05,166.44,44.17,61,14.67,91,1597645704
Sisimiut,GL,66.94,-53.67,45.64,57,4.27,54,1597645705
Flinders,AU,-34.58,150.86,66.0,50,11.01,0,1597645705
Nagua,DO,19.38,-69.85,77.07,91,2.62,0,1597645705
Huanren,CN,41.26,125.37,82.56,76,7.29,85,1597645705
Staroutkinsk,RU,57.23,59.33,50.47,95,8.93,100,1597645706
Tautira,PF,-17.73,-149.15,75.2,73,2.24,20,1597645706
Yakovlevka,RU,44.42,133.48,83.05,51,5.14,89,1597645706
Honiara,SB,-9.43,159.95,86.0,70,6.93,20,1597645570
Patacamaya,BO,-17.23,-67.92,42.04,61,4.7,33,1597645707
Purpe,RU,64.48,76.69,64.0,78,8.19,95,1597645516
Northam,GB,51.03,-4.22,60.01,95,5.01,70,1597645572
Dunedin,NZ,-45.87,170.5,46.0,83,3.0,28,1597645414
Yenagoa,NG,4.92,6.26,74.21,89,3.44,99,1597645708
Eilat,IL,29.56,34.95,87.8,43,8.05,0,1597645510
Crotone,IT,39.09,17.12,78.8,69,2.24,18,1597645708
Marzuq,YE,14.4,46.47,88.93,30,2.66,13,1597645709
Quryq,KZ,43.2,51.65,75.02,38,8.68,55,1597645709
Alugan,PH,12.22,125.48,86.09,70,4.41,99,1597645709
Iqaluit,CA,63.75,-68.51,41.0,93,3.36,40,1597645709
Artesia,US,33.87,-118.08,73.4,83,3.36,90,1597645709
Oriximiná,BR,-1.77,-55.87,78.04,68,4.14,50,1597645710
Nkayi,CG,-4.18,13.29,74.61,73,4.0,87,1597645710
